
"Nome do sistema","Modelo do sistema","Tempo de conexão do Agente","Tempo de desconexão do Agente","Última sincronização","Nome de SO","Versão","Total de Ram","RAM usada","Tamanho total de disco (G)","Endereço MAC"
"LNG08C09","11DUSGAP00","15-10-2024 08:03:08","","15-10-2024 14:05:05","Microsoft Windows 11 Pro x64","10.0.22631","8192","5438.4","235.50","64:1C:67:EC:AC:16"
"LNG08C10","11DUSGAP00","15-10-2024 07:38:55","","15-10-2024 13:40:01","Microsoft Windows 11 Pro x64","10.0.22000","8192","6440.6","235.50","64:1C:67:EC:9E:44"
"LNG08C11","11DUSGAP00","15-10-2024 08:28:34","","14-10-2024 16:20:58","Microsoft Windows 11 Pro x64","10.0.22000","8192","7431.5","235.50","64:1C:67:EC:AC:34"
"LNG08C12","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 13:09:55","","15-10-2024 13:10:56","Microsoft Windows 11 Pro x64","10.0.22000","8192","2748","235.60","48:BA:4E:BC:6B:90"
"LNG08C13","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 07:44:41","","15-10-2024 13:46:31","Microsoft Windows 11 Pro x64","10.0.22000","8192","5537.5","235.60","48:BA:4E:BC:7B:1D"
"LNG08C14","HP Pro Mini 400 G9 Desktop PC","15-10-2024 08:39:04","","15-10-2024 13:52:57","Microsoft Windows 11 Pro x64","10.0.22621","8192","6405.9","235.50","5C:60:BA:B1:3F:04"
"LNG08NOTE01","Latitude 3540","11-10-2024 13:08:15","11-10-2024 15:22:56","11-10-2024 14:16:48","Microsoft Windows 11 Pro x64","10.0.22631","8192","5431.1","235.50","F0:20:FF:B6:D5:DC"
"LNG09C01","HP ProDesk 400 G3 DM 2DV31LA#AC4","15-10-2024 07:55:03","","15-10-2024 13:56:22","Microsoft Windows 11 Pro x64","10.0.22000","8192","4496.9","235.60","F4:39:09:42:AC:B9"
"LNG10C02","C610","14-10-2024 14:01:52","","15-10-2024 09:44:49","Microsoft Windows 11 Pro x64","10.0.22631","8192","2753.8","235.50","A8:5E:45:04:A7:A2"
"LNG11C01","11DUSGAP00","14-10-2024 10:01:39","14-10-2024 20:03:10","14-10-2024 18:18:27","Microsoft Windows 11 Pro x64","10.0.22000","8192","4787.9","235.50","64:1C:67:EC:CD:D2"
"LNGERENCIA01","VMware Virtual Platform","10-10-2024 20:17:57","","15-10-2024 11:23:32","Microsoft Windows Server 2012 R2 Datacenter x64","6.3.9600","32768","6259.8","199.70","00:50:56:AA:91:20"
"LNGUARITA01","OptiPlex 3020","02-10-2024 13:07:25","","15-10-2024 10:27:59","Microsoft Windows 11 Pro x64","10.0.22631","8192","3898.5","220.80","F4:8E:38:E0:46:E6"
"LNGUICHE02","C610","15-10-2024 10:08:49","","15-10-2024 10:02:30","Microsoft Windows 11 Pro x64","10.0.22631","8192","4209.3","235.50","A8:5E:45:04:A7:B9"
"LNGUICHE03","C610","15-10-2024 08:08:02","","15-10-2024 14:09:02","Microsoft Windows 11 Pro x64","10.0.22631","8192","4845","235.50","A8:5E:45:04:A1:62"
"LNGUICHE03C01","HP Pro Mini 400 G9 Desktop PC","14-10-2024 14:43:49","14-10-2024 20:03:31","14-10-2024 18:18:05","Microsoft Windows 11 Pro x64","10.0.22621","8192","2929.8","235.50","5C:60:BA:B1:4F:3E"
