Client IP Address	Name	Lease Expiration	Type	Unique ID	Description	Network Access Protection	Probation Expiration	Filter Profile	Policy
10.1.83.234	LNSEC01.sarah.br	17/10/2024 09:16:15	DHCP	d8cb8ad56f95		Full Access	N/A	None	
10.1.84.132	LNGUICHE03.sarah.br	17/10/2024 08:50:38	DHCP	a85e4504a162		Full Access	N/A	None	
10.1.84.136	LNSEG01.sarah.br	17/10/2024 21:12:39	DHCP	3024a9fc4164		Full Access	N/A	None	
10.1.84.146	LNLAVANDERIA01.sarah.br	17/10/2024 08:52:44	DHCP	48ba4ebc5be5		Full Access	N/A	None	
10.1.84.147	LNRISL07C01.sarah.br	17/10/2024 16:01:22	DHCP	48ba4ebc6b09		Full Access	N/A	None	
10.1.84.150	LNLABMOV13.sarah.br	16/10/2024 12:07:43	DHCP	a85e4504a17e		Full Access	N/A	None	
10.1.84.151	LNG08C04.sarah.br	17/10/2024 08:23:37	DHCP	48ba4ebc7b0b		Full Access	N/A	None	
10.1.84.154	LNRISL02C01.sarah.br	17/10/2024 08:29:17	DHCP	641c67eccc76		Full Access	N/A	None	
10.1.84.155	LNRISL07C02.sarah.br	16/10/2024 10:22:06	DHCP	48ba4ebc6bb0		Full Access	N/A	None	
10.1.84.171	LNG10C02.sarah.br	18/10/2024 14:01:50	DHCP	a85e4504a7a2		Full Access	N/A	None	
10.1.84.172	LNG08C02.sarah.br	17/10/2024 17:04:22	DHCP	48ba4ebc7b0c		Full Access	N/A	None	
10.1.84.173	LNRISL08C03.sarah.br	17/10/2024 09:05:20	DHCP	a85e4504a7f8		Full Access	N/A	None	
10.1.84.200	Galaxy-A12-de-Sarah.sarah.br	Reservation (active)	DHCP	8437d57e620d		Full Access	N/A	None	
10.1.84.205	SpeedwayR-10-CF-5D.sarah.br	Reservation (active)	DHCP	00162510cf5d	Tablet RFID Costuraria LN	Full Access	N/A	None	
10.1.84.207	LNG08C09.sarah.br	17/10/2024 09:03:06	DHCP	641c67ecac16		Full Access	N/A	None	
10.1.84.236	SpeedwayR-10-CF-59.sarah.br	Reservation (active)	None	00162510cf59	Tablet RFID Lavanderia LN	Full Access	N/A	None	
10.1.84.237	LNG01C04.sarah.br	17/10/2024 21:03:17	DHCP	a85e4504a1c1		Full Access	N/A	None	
10.1.84.238	LNG02NOTE01.sarah.br	18/10/2024 14:57:31	DHCP	f020ffb6c943		Full Access	N/A	None	
10.1.84.239	LNBIOENG06.sarah.br	18/10/2024 11:33:59	DHCP	641c67ec9e1e		Full Access	N/A	None	
10.1.84.241	LNBIOENG03.sarah.br	17/10/2024 10:49:49	DHCP	f48e38e04654		Full Access	N/A	None	
10.1.84.242	LNREFEITORIO01.sarah.br	17/10/2024 11:54:10	DHCP	f48e38e03cd9		Full Access	N/A	None	
10.1.84.243	LNALMOXNUTRI02.sarah.br	17/10/2024 01:41:13	DHCP	a85e4504a7e8		Full Access	N/A	None	
10.1.84.244	LNG08C01.sarah.br	17/10/2024 09:28:02	DHCP	48ba4ebc8d05		Full Access	N/A	None	
10.1.84.245	LNDRKINETIC01.sarah.br	17/10/2024 09:00:57	DHCP	1866da069377		Full Access	N/A	None	
10.1.84.247	LNBIOENG01.sarah.br	18/10/2024 14:00:49	DHCP	5c60bab14f97		Full Access	N/A	None	
10.1.84.249	LNMANUT09.sarah.br	18/10/2024 07:22:25	DHCP	641c67ecc3f9		Full Access	N/A	None	
10.1.84.250	LNSEG03.sarah.br	18/10/2024 08:02:16	DHCP	5c60bab13fe9		Full Access	N/A	None	
10.1.93.10	LNLABMOV04.sarah.br	17/10/2024 08:35:25	DHCP	a85e4504a7e7		Full Access	N/A	None	
10.1.93.12	LNRECEP02.sarah.br	18/10/2024 12:45:25	DHCP	a85e4504a17b		Full Access	N/A	None	
10.1.93.13	LNG11C01.sarah.br	16/10/2024 15:07:58	DHCP	641c67eccdd2		Full Access	N/A	None	
10.1.93.14	LNRISL06C02.sarah.br	16/10/2024 10:21:38	DHCP	a85e4504a7ea		Full Access	N/A	None	
10.1.93.15	LNAMB01.sarah.br	17/10/2024 21:03:17	DHCP	a85e4504a166		Full Access	N/A	None	
10.1.93.16	LNPISCINAS01.sarah.br	17/10/2024 21:03:34	DHCP	a85e4504a18a		Full Access	N/A	None	
10.1.93.17	LNMANUT04.sarah.br	17/10/2024 23:17:36	DHCP	d8cb8ad55add		Full Access	N/A	None	
10.1.93.19	android-312a443df5204d23.sarah.br	18/10/2024 11:44:35	DHCP	78b8d633403d		Full Access	N/A	None	
10.1.93.20	iPad-tomb-98460.sarah.br	18/10/2024 08:21:25	DHCP	58e6bae9e87c		Full Access	N/A	None	
10.1.93.21	lnchamada00.sarah.br	18/10/2024 07:02:32	DHCP	f48e38e03d80		Full Access	N/A	None	
10.1.93.22	Galaxy-A12.sarah.br	Reservation (active)	DHCP	8437d57f5ce1		Full Access	N/A	None	
10.1.93.24	LNRECEP04.sarah.br	18/10/2024 14:50:41	DHCP	641c67ecc434		Full Access	N/A	None	
10.1.93.25	LNRIRECEP02.sarah.br	17/10/2024 08:21:15	DHCP	641c67eccc75		Full Access	N/A	None	
10.1.93.26	BAD_ADDRESS	18/10/2024 07:54:58	DHCP	1a5d010a	This address is already in use	Full Access	N/A	None	
10.1.93.27	LNLABMOVXX.sarah.br	17/10/2024 08:34:14	DHCP	484d7edb1302		Full Access	N/A	None	
10.1.93.28	LNCAMTMP01.sarah.br	17/10/2024 15:27:30	DHCP	0050569187a4		Full Access	N/A	None	
10.1.93.29	LNMANUT06.sarah.br	18/10/2024 14:47:44	DHCP	d8cb8ad5ec5a		Full Access	N/A	None	
10.1.93.30	LNG03C01.sarah.br	18/10/2024 12:25:11	DHCP	48ba4ebc6b72		Full Access	N/A	None	
10.1.93.31	LNG01C03.sarah.br	18/10/2024 13:00:40	DHCP	a85e4504a1ad		Full Access	N/A	None	
10.1.93.32	LNAMBLJ11C01.sarah.br	17/10/2024 09:24:55	DHCP	d8cb8ad53f5f		Full Access	N/A	None	
10.1.93.33	LNRAD05.sarah.br	17/10/2024 08:58:41	DHCP	641c67ecac46		Full Access	N/A	None	
10.1.93.34	LNMANUT01.sarah.br	18/10/2024 08:05:29	DHCP	e454e855dabd		Full Access	N/A	None	
10.1.93.35	Galaxy-A31.sarah.br	17/10/2024 22:48:33	DHCP	fa06cab48792		Full Access	N/A	None	
10.1.93.36	LNBIOENG14.sarah.br	17/10/2024 09:41:33	DHCP	d8cb8ad56f8c		Full Access	N/A	None	
10.1.93.37	LNNEUROPSIC05.sarah.br	18/10/2024 13:28:49	DHCP	641c67ecc3dd		Full Access	N/A	None	
10.1.93.38	LNDR02.sarah.br	18/10/2024 12:59:27	DHCP	60c7270544d6		Full Access	N/A	None	
10.1.93.40	LNTOTEM01.sarah.br	17/10/2024 17:03:04	DHCP	7c8334bb7863		Full Access	N/A	None	
10.1.93.41	LN-ENF-PRINCIPAL2.sarah.br	18/10/2024 02:04:59	DHCP	00a38e1bdc30		Full Access	N/A	None	
10.1.93.43	LNDR01.sarah.br	18/10/2024 10:28:53	DHCP	60c7270544d3		Full Access	N/A	None	
10.1.93.44	LN-ENF-INTERNO2.sarah.br	18/10/2024 02:35:06	DHCP	2c5a0fe226f8		Full Access	N/A	None	
10.1.93.45	LNRECEPB01.sarah.br	17/10/2024 16:27:18	DHCP	641c67eccc70		Full Access	N/A	None	
10.1.93.46	LNBRIGADA01.sarah.br	18/10/2024 07:16:19	DHCP	f48e38e0476a		Full Access	N/A	None	
10.1.93.47	LNSEC06.sarah.br	18/10/2024 07:52:59	DHCP	a85e4504a10d		Full Access	N/A	None	
10.1.93.48	LNHIGIENE01.sarah.br	17/10/2024 09:32:35	DHCP	48ba4ebc2932		Full Access	N/A	None	
10.1.93.49	LNG03NOTE01.sarah.br	18/10/2024 15:31:29	DHCP	f020ffb6d5e1		Full Access	N/A	None	
10.1.93.50		Reservation (active)	DHCP	46d1fa0ad2fd		Full Access	N/A	None	
10.1.93.52	SEPF01D2D59BE07.sarah.br	17/10/2024 20:41:03	DHCP	f01d2d59be07		Full Access	N/A	None	
10.1.93.53		18/10/2024 05:11:34	DHCP	a4e975b4eaab		Full Access	N/A	None	
10.1.93.54	LNAMB02.sarah.br	18/10/2024 08:25:07	DHCP	a85e4504a7a3		Full Access	N/A	None	
10.1.93.55	LNRISL08C04.sarah.br	18/10/2024 09:11:33	DHCP	a85e4504a108		Full Access	N/A	None	
10.1.93.56	LNRAD04.sarah.br	17/10/2024 14:10:55	DHCP	641c67ec9e15		Full Access	N/A	None	
10.1.93.57	LNRECEPB02.sarah.br	17/10/2024 10:42:27	DHCP	d8cb8ad55067		Full Access	N/A	None	
10.1.93.58	LNG08C03.sarah.br	18/10/2024 09:34:22	DHCP	48ba4ebc8d51		Full Access	N/A	None	
10.1.93.59	Galaxy-A12.sarah.br	Reservation (active)	DHCP	8437d57f5c57		Full Access	N/A	None	
10.1.93.61	Scherer-A52.sarah.br	Reservation (active)	DHCP	60684e312d12		Full Access	N/A	None	
10.1.93.62	LNG08C12.sarah.br	17/10/2024 09:17:32	DHCP	48ba4ebc6b90		Full Access	N/A	None	
10.1.93.63	android-78f15da77e2de37f.sarah.br	18/10/2024 16:00:46	DHCP	20d7788da2fa		Full Access	N/A	None	
10.1.93.64	LNRISEC02.sarah.br	17/10/2024 09:38:55	DHCP	d8cb8ad55a97		Full Access	N/A	None	
10.1.93.65	LNBIOENG02.sarah.br	18/10/2024 15:50:00	DHCP	7486e219998a		Full Access	N/A	None	
